column1	column2	column1_stemmed	column2_stemmed	column1_lemmatized	column2_lemmatized
right? brand new outfit.	store from?	right? brand new outfit.	store from?	right? brand new outfit.	store from?
store from?	went macy's picked out.	store from?	went macy's picked out.	store from?	went macy's picked out.
went macy's picked out.	love outfit right now.	went macy's picked out.	love outfit right now.	went macy's picked out.	love outfit right now.
love outfit right now.	well, think look nice today too.	love outfit right now.	well, think look nice today too.	love outfit right now.	well, think look nice today too.
well, think look nice today too.	thanks. found new shoes earlier store.	well, think look nice today too.	thanks. found new shoes earlier store.	well, think look nice today too.	thanks. found new shoes earlier store.
thanks. found new shoes earlier store.	think nice shoes. kind they?	thanks. found new shoes earlier store.	think nice shoes. kind they?	thanks. found new shoes earlier store.	think nice shoes. kind they?
think nice shoes. kind they?	chucks.	think nice shoes. kind they?	chucks.	think nice shoes. kind they?	chucks.
chucks.	shoes look nice. for?	chucks.	shoes look nice. for?	chucks.	shoes look nice. for?
shoes look nice. for?	cost dollars.	shoes look nice. for?	cost dollars.	shoes look nice. for?	cost dollars.
tell me, enjoy spare time?	enjoy drawing painting.	tell me, enjoy spare time?	enjoy drawing painting.	tell me, enjoy spare time?	enjoy drawing painting.
enjoy drawing painting.	know draw paint?	enjoy drawing painting.	know draw paint?	enjoy drawing painting.	know draw paint?
know draw paint?	yes, do.	know draw paint?	yes, do.	know draw paint?	yes, do.
yes, do.	learn that?	yes, do.	learn that?	yes, do.	learn that?
learn that?	learned high school.	learn that?	learned high school.	learn that?	learned high school.
learned high school.	oh, took art class?	learned high school.	oh, took art class?	learned high school.	oh, took art class?
oh, took art class?	yeah, loved class.	oh, took art class?	yeah, loved class.	oh, took art class?	yeah, loved class.
yeah, loved class.	you're pretty talented.	yeah, loved class.	you're pretty talented.	yeah, loved class.	you're pretty talented.
you're pretty talented.	thank much.	you're pretty talented.	thank much.	you're pretty talented.	thank much.
thank much.	wish talent like that.	thank much.	wish talent like that.	thank much.	wish talent like that.
wish talent like that.	i'm sure talent. it's hidden.	wish talent like that.	i'm sure talent. it's hidden.	wish talent like that.	i'm sure talent. it's hidden.
kinds things like do?	i've liked draw paint.	kinds things like do?	i've liked draw paint.	kinds things like do?	i've liked draw paint.
i've liked draw paint.	didn't know knew draw paint.	i've liked draw paint.	didn't know knew draw paint.	i've liked draw paint.	didn't know knew draw paint.
didn't know knew draw paint.	while.	didn't know knew draw paint.	while.	didn't know knew draw paint.	while.
while.	long known that?	while.	long known that?	while.	long known that?
long known that?	learned high school.	long known that?	learned high school.	long known that?	learned high school.
learned high school.	sort art class something?	learned high school.	sort art class something?	learned high school.	sort art class something?
sort art class something?	favorite class.	sort art class something?	favorite class.	sort art class something?	favorite class.
favorite class.	got talented.	favorite class.	got talented.	favorite class.	got talented.
got talented.	thanks.	got talented.	thanks.	got talented.	thanks.
thanks.	talented.	thanks.	talented.	thanks.	talented.
talented.	talent. don't know yet.	talented.	talent. don't know yet.	talented.	talent. don't know yet.
hobbies do?	time, draw paint.	hobbies do?	time, draw paint.	hobbies do?	time, draw paint.
time, draw paint.	oh, actually that?	time, draw paint.	oh, actually that?	time, draw paint.	oh, actually that?
oh, actually that?	often, do.	oh, actually that?	often, do.	oh, actually that?	often, do.
often, do.	know draw paint?	often, do.	know draw paint?	often, do.	know draw paint?
know draw paint?	taught high school draw paint.	know draw paint?	taught high school draw paint.	know draw paint?	taught high school draw paint.
taught high school draw paint.	art class?	taught high school draw paint.	art class?	taught high school draw paint.	art class?
art class?	exactly, favorite class.	art class?	exactly, favorite class.	art class?	exactly, favorite class.
exactly, favorite class.	well, it's good you're talented.	exactly, favorite class.	well, it's good you're talented.	exactly, favorite class.	well, it's good you're talented.
well, it's good you're talented.	appreciate that.	well, it's good you're talented.	appreciate that.	well, it's good you're talented.	appreciate that.
appreciate that.	talent great thing, wish one.	appreciate that.	talent great thing, wish one.	appreciate that.	talent great thing, wish one.
what's favorite movie?	favorite movie superbad.	what's favorite movie?	favorite movie superbad.	what's favorite movie?	favorite movie superbad.
favorite movie superbad.	oh, that?	favorite movie superbad.	oh, that?	favorite movie superbad.	oh, that?
oh, that?	it's funniest movie i've seen.	oh, that?	it's funniest movie i've seen.	oh, that?	it's funniest movie i've seen.
it's funniest movie i've seen.	that's true. funny movie.	it's funniest movie i've seen.	that's true. funny movie.	it's funniest movie i've seen.	that's true. funny movie.
that's true. funny movie.	you've seen before?	that's true. funny movie.	you've seen before?	that's true. funny movie.	you've seen before?
you've seen before?	yes, saw movie day came theaters.	you've seen before?	yes, saw movie day came theaters.	you've seen before?	yes, saw movie day came theaters.
yes, saw movie day came theaters.	didn't laugh movie? did.	yes, saw movie day came theaters.	didn't laugh movie? did.	yes, saw movie day came theaters.	didn't laugh movie? did.
didn't laugh movie? did.	too. movie brought tears eyes.	didn't laugh movie? did.	too. movie brought tears eyes.	didn't laugh movie? did.	too. movie brought tears eyes.
too. movie brought tears eyes.	too.	too. movie brought tears eyes.	too.	too. movie brought tears eyes.	too.
too.	dvd house want come watch it.	too.	dvd house want come watch it.	too.	dvd house want come watch it.
dvd house want come watch it.	sure, let's go.	dvd house want come watch it.	sure, let's go.	dvd house want come watch it.	sure, let's go.
movie favorite watch?	say, favorite movie superbad.	movie favorite watch?	say, favorite movie superbad.	movie favorite watch?	say, favorite movie superbad.
say, favorite movie superbad.	right? why?	say, favorite movie superbad.	right? why?	say, favorite movie superbad.	right? why?
right? why?	honestly, funniest movies i've seen long time.	right? why?	honestly, funniest movies i've seen long time.	right? why?	honestly, funniest movies i've seen long time.
honestly, funniest movies i've seen long time.	you're right. movie hilarious.	honestly, funniest movies i've seen long time.	you're right. movie hilarious.	honestly, funniest movies i've seen long time.	you're right. movie hilarious.
you're right. movie hilarious.	didn't think saw movie.	you're right. movie hilarious.	didn't think saw movie.	you're right. movie hilarious.	didn't think saw movie.
didn't think saw movie.	went day came out.	didn't think saw movie.	went day came out.	didn't think saw movie.	went day came out.
went day came out.	laughing movie.	went day came out.	laughing movie.	went day came out.	laughing movie.
laughing movie.	couldn't help laughing, either.	laughing movie.	couldn't help laughing, either.	laughing movie.	couldn't help laughing, either.
couldn't help laughing, either.	here.	couldn't help laughing, either.	here.	couldn't help laughing, either.	here.
here.	bought movie. like come house watch it?	here.	bought movie. like come house watch it?	here.	bought movie. like come house watch it?
bought movie. like come house watch it?	course.	bought movie. like come house watch it?	course.	bought movie. like come house watch it?	course.
movie you've seen, favorite?	i'm going superbad best movie ever.	movie you've seen, favorite?	i'm going superbad best movie ever.	movie you've seen, favorite?	i'm going superbad best movie ever.
i'm going superbad best movie ever.	think so, come?	i'm going superbad best movie ever.	think so, come?	i'm going superbad best movie ever.	think so, come?
think so, come?	well, superbad super funny.	think so, come?	well, superbad super funny.	think so, come?	well, superbad super funny.
well, superbad super funny.	you're lying, found movie absolutely hilarious.	well, superbad super funny.	you're lying, found movie absolutely hilarious.	well, superbad super funny.	you're lying, found movie absolutely hilarious.
you're lying, found movie absolutely hilarious.	didn't know saw superbad before.	you're lying, found movie absolutely hilarious.	didn't know saw superbad before.	you're lying, found movie absolutely hilarious.	didn't know saw superbad before.
didn't know saw superbad before.	sure line day came out.	didn't know saw superbad before.	sure line day came out.	didn't know saw superbad before.	sure line day came out.
sure line day came out.	couldn't laughing movie.	sure line day came out.	couldn't laughing movie.	sure line day came out.	couldn't laughing movie.
couldn't laughing movie.	laughing hysterically time; stomach muscles hurt afterwards.	couldn't laughing movie.	laughing hysterically time; stomach muscles hurt afterwards.	couldn't laughing movie.	laughing hysterically time; stomach muscles hurt afterwards.
laughing hysterically time; stomach muscles hurt afterwards.	that's exactly felt.	laughing hysterically time; stomach muscles hurt afterwards.	that's exactly felt.	laughing hysterically time; stomach muscles hurt afterwards.	that's exactly felt.
that's exactly felt.	got movie came dvd, want come over?	that's exactly felt.	got movie came dvd, want come over?	that's exactly felt.	got movie came dvd, want come over?
type music like listen to?	like listening different kinds music.	type music like listen to?	like listening different kinds music.	type music like listen to?	like listening different kinds music.
like listening different kinds music.	like what, instance?	like listening different kinds music.	like what, instance?	like listening different kinds music.	like what, instance?
